Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,784.700012,788.000000,777.299988,781.400024,775.282349,1996844
2021-09-15,784.700012,785.750000,778.799988,780.650024,774.538208,1393824
2021-09-16,780.000000,784.549988,778.299988,781.049988,774.935059,1353677
2021-09-17,785.000000,787.900024,766.650024,769.900024,763.872375,4052622
2021-09-20,766.700012,774.750000,751.599976,756.500000,750.577271,2206369
2021-09-21,756.500000,766.349976,751.049988,764.500000,758.514648,2123997
2021-09-22,765.000000,774.000000,764.500000,770.099976,764.070740,1817865
2021-09-23,771.099976,777.200012,766.099976,769.849976,763.822693,2109768
2021-09-24,769.000000,776.650024,762.000000,770.450012,764.418030,1777859
2021-09-27,771.450012,774.500000,760.099976,763.049988,757.075989,2862731
2021-09-28,766.700012,791.000000,754.950012,775.099976,769.031616,4938824
2021-09-29,784.000000,819.750000,771.349976,811.299988,804.948242,18565413
2021-09-30,814.799988,832.950012,806.599976,818.250000,811.843811,10478553
2021-10-01,812.000000,830.700012,805.299988,826.599976,820.128418,5730355
2021-10-04,830.000000,838.900024,826.450012,832.000000,825.486145,4007435
2021-10-05,828.000000,834.400024,814.950012,820.500000,814.076172,2987134
2021-10-06,820.450012,824.000000,797.299988,800.599976,794.331970,2910453
2021-10-07,808.049988,826.349976,804.099976,823.250000,816.804688,4089061
2021-10-08,825.099976,833.799988,818.599976,821.400024,814.969177,2753935
2021-10-11,826.000000,836.200012,817.799988,832.549988,826.031860,2988841
2021-10-12,833.500000,842.750000,823.700012,829.700012,823.204163,2407031
2021-10-13,827.950012,846.799988,827.250000,842.549988,835.953552,4113083
2021-10-14,843.900024,850.000000,838.250000,841.299988,834.713318,2300231
2021-10-18,850.000000,851.000000,832.150024,835.900024,829.355652,2632795
2021-10-19,837.000000,842.200012,825.650024,827.349976,820.872559,2029762
2021-10-20,825.049988,834.799988,807.500000,814.900024,808.520081,2089252
2021-10-21,823.049988,829.000000,810.049988,818.400024,811.992676,3155655
2021-10-22,825.099976,826.849976,800.150024,812.549988,806.188416,1709523
2021-10-25,810.000000,821.250000,795.549988,813.200012,806.833374,2129988
2021-10-26,817.000000,823.900024,806.299988,813.500000,807.130981,1628608
2021-10-27,815.799988,838.450012,815.799988,825.099976,818.640137,3569869
2021-10-28,823.950012,829.150024,803.049988,807.599976,801.277161,1647229
2021-10-29,800.000000,816.549988,779.349976,795.000000,788.775818,4321416
2021-11-01,798.950012,813.849976,787.000000,811.799988,805.444275,1935341
2021-11-02,814.650024,836.000000,782.750000,815.400024,809.016174,17608860
2021-11-03,820.000000,822.000000,781.349976,787.950012,781.781067,9452138
2021-11-04,797.000000,797.000000,788.500000,795.450012,789.222351,485870
2021-11-08,798.000000,803.000000,783.000000,800.000000,793.736694,4280584
2021-11-09,800.000000,812.000000,797.000000,801.349976,795.076111,3232291
2021-11-10,799.750000,815.000000,797.000000,811.099976,804.749756,2900645
2021-11-11,808.950012,810.450012,792.099976,794.849976,788.627014,2107377
2021-11-12,803.950012,808.549988,796.099976,806.500000,800.185791,2076523
2021-11-15,808.299988,819.650024,806.650024,810.700012,804.352966,2109222
2021-11-16,812.299988,817.450012,795.650024,798.450012,792.198853,1512946
2021-11-17,800.000000,805.000000,787.400024,791.349976,785.154419,1662900
2021-11-18,790.000000,794.349976,780.099976,790.650024,784.459900,3177648
2021-11-22,791.849976,794.000000,765.049988,770.750000,764.715698,2894426
2021-11-23,770.000000,791.750000,761.549988,785.200012,779.052551,2739763
2021-11-24,783.500000,796.950012,775.549988,778.950012,772.851501,2404041
2021-11-25,775.599976,787.250000,774.349976,782.900024,776.770569,1861259
2021-11-26,775.000000,798.900024,762.000000,767.299988,761.292725,5432649
2021-11-29,773.000000,775.000000,749.049988,751.049988,745.169922,4664270
2021-11-30,751.000000,761.650024,746.049988,753.599976,747.699951,5505266
2021-12-01,756.750000,763.250000,740.349976,745.349976,739.514526,3687799
2021-12-02,753.000000,770.750000,746.099976,766.250000,760.250916,4896650
2021-12-03,771.900024,771.900024,748.900024,751.799988,745.914063,3135454
2021-12-06,751.200012,752.549988,733.700012,737.150024,731.378784,2577704
2021-12-07,741.099976,751.000000,735.000000,743.700012,737.877502,2583462
2021-12-08,750.200012,763.500000,747.349976,757.549988,751.619019,2530785
2021-12-09,758.200012,766.799988,756.150024,759.750000,753.801819,2604449
2021-12-10,754.200012,775.000000,754.200012,761.349976,755.389282,2950388
2021-12-13,763.849976,773.349976,759.000000,762.599976,756.629456,2491218
2021-12-14,757.250000,768.750000,753.599976,756.049988,750.130798,3224172
2021-12-15,752.500000,778.849976,745.299988,775.099976,769.031616,6231786
2021-12-16,786.500000,786.500000,760.000000,764.450012,758.465027,6186549
2021-12-17,762.000000,772.349976,753.500000,768.950012,762.929810,7171030
2021-12-20,768.000000,774.700012,753.049988,763.950012,757.968933,7474026
2021-12-21,764.049988,783.950012,764.049988,778.549988,772.454590,5599344
2021-12-22,785.000000,801.000000,777.500000,797.500000,791.256287,5871235
2021-12-23,801.849976,803.950012,790.000000,792.450012,786.245789,4277384
2021-12-24,793.400024,794.799988,777.599976,785.400024,779.251038,3076272
2021-12-27,784.000000,796.599976,781.150024,794.099976,787.882874,3598487
2021-12-28,796.000000,819.900024,794.200012,815.099976,808.718445,5477769
2021-12-29,822.500000,843.650024,816.500000,838.799988,832.232910,8748856
2021-12-30,836.650024,841.950012,827.349976,834.450012,827.916992,5179861
2021-12-31,834.450012,850.950012,834.000000,845.700012,839.078918,3346523
2022-01-03,845.000000,860.049988,840.900024,848.950012,842.303467,3726756
2022-01-04,852.500000,854.000000,832.400024,837.700012,831.141541,3027262
2022-01-05,840.000000,844.549988,830.650024,835.099976,828.561890,2436343
2022-01-06,837.799988,844.900024,822.000000,829.599976,823.104919,2423850
2022-01-07,829.599976,836.000000,825.200012,828.950012,822.460083,1475374
2022-01-10,832.099976,835.000000,817.549988,826.700012,820.227661,4837873
2022-01-11,830.900024,841.500000,828.299988,832.400024,825.883057,4950526
2022-01-12,845.000000,845.000000,827.500000,836.200012,829.653320,3953446
2022-01-13,836.200012,871.000000,834.250000,865.500000,858.723877,7395140
2022-01-14,865.500000,868.900024,856.799988,859.750000,853.018921,2351963
2022-01-17,859.750000,863.400024,850.500000,853.200012,846.520203,1750754
2022-01-18,855.000000,867.200012,845.000000,846.700012,840.071106,3354708
2022-01-19,848.000000,848.000000,834.000000,838.500000,831.935303,1677779
2022-01-20,839.299988,842.750000,815.650024,820.000000,813.580139,2886894
2022-01-21,816.500000,819.700012,801.099976,808.750000,802.418213,3218477
2022-01-24,804.000000,825.000000,791.599976,800.849976,794.580017,5300160
2022-01-25,791.000000,811.700012,784.799988,808.049988,801.723633,3779497
2022-01-27,802.000000,817.400024,791.299988,812.099976,805.741943,3593525
2022-01-28,816.000000,842.900024,812.099976,827.349976,820.872559,5073701
2022-01-31,830.099976,849.750000,820.049988,834.500000,827.966614,8041517
2022-02-01,847.400024,895.000000,839.849976,891.750000,884.768372,12337459
2022-02-02,890.000000,898.450012,882.000000,890.650024,883.677002,4404741
2022-02-03,889.349976,891.200012,880.450012,883.549988,876.632568,2292825
2022-02-04,882.900024,902.849976,881.349976,893.950012,886.951172,4222492
2022-02-07,901.450012,901.450012,879.700012,887.049988,880.105164,3494623
2022-02-08,886.000000,895.950012,882.000000,894.099976,887.099976,4766558
2022-02-09,893.900024,894.549988,885.349976,886.450012,886.450012,2874380
2022-02-10,891.400024,896.250000,880.000000,894.299988,894.299988,3159839
2022-02-11,894.599976,895.799988,874.650024,880.099976,880.099976,2682532
2022-02-14,870.000000,886.650024,862.200012,864.849976,864.849976,5163415
2022-02-15,862.500000,880.000000,859.049988,876.799988,876.799988,3219287
2022-02-16,876.000000,881.150024,867.099976,868.849976,868.849976,2136415
2022-02-17,872.349976,872.349976,861.299988,862.549988,862.549988,2275289
2022-02-18,862.549988,867.900024,856.400024,862.900024,862.900024,1797851
2022-02-21,855.500000,864.000000,839.500000,843.849976,843.849976,2305713
2022-02-22,836.000000,849.000000,824.599976,845.799988,845.799988,3171552
